CONTENT,CLASS
88.33333333,1
86.33333333,1
84.33333333,1
82.33333333,1
80.5,1
78.66666667,1
77,1
75.66666667,1
74.33333333,1
73.33333333,1
72.33333333,1
71.66666667,1
71.33333333,1
71.66666667,1
71.66666667,1
72,1
72.66666667,1
73.16666667,1
74,1
75,1
75.66666667,1
76.5,1
77.5,1
78.33333333,1
79.16666667,1
80.16666667,1
81.16666667,1
81.66666667,1
82.33333333,1
82.83333333,1
83.33333333,1
83.66666667,1
84,1
84.16666667,1
84.5,1
84.33333333,1
84,1
84,1
83.83333333,1
83.66666667,1
83.33333333,1
83.16666667,1
83,1
82.66666667,1
82.5,1
82.16666667,1
81.83333333,1
81.33333333,1
81.33333333,1
81.16666667,1
81.66666667,1
81.83333333,1
83.33333333,1
85.83333333,1
89.66666667,1
94.5,1
100.5,FALSE
106.6666667,FALSE
112.8333333,FALSE
119,FALSE
124.1666667,FALSE
128.6666667,FALSE
131.3333333,FALSE
132.5,FALSE
132.5,FALSE
130.5,FALSE
127.5,FALSE
123.3333333,FALSE
118.6666667,FALSE
112.8333333,FALSE
106.8333333,FALSE
100.8333333,FALSE
94.66666667,1
89.16666667,1
83.83333333,1
79,1
75,1
71.66666667,1
69,1
66.83333333,1
65.5,1
64.66666667,1
64.16666667,1
64.16666667,1
64.66666667,1
65.5,1
66.83333333,1
68.66666667,1
71,1
73.33333333,1
75.83333333,1
78.83333333,1
81.83333333,1
84.83333333,1
87.16666667,1
89.5,1
91.5,1
93,1
94,1
94.16666667,1
94.16666667,1
93.5,1
92.66666667,1
91.33333333,1
90,1
88.5,1
86.5,1
84.66666667,1
82.83333333,1
81,1
79.16666667,1
77.5,1
76.16666667,1
75,1
74,1
73,1
72.5,1
72,1
71.83333333,1
71.83333333,1
72,1
72.33333333,1
73,1
73.5,1
74.16666667,1
75,1
75.66666667,1
76.66666667,1
77.66666667,1
78.5,1
79.5,1
80.5,1
81.16666667,1
81.83333333,1
82.16666667,1
82.66666667,1
83.33333333,1
83.5,1
83.66666667,1
84,1
84.16666667,1
84,1
83.83333333,1
83.66666667,1
83.5,1
83.16666667,1
83,1
82.66666667,1
82.5,1
82,1
82,1
81.66666667,1
81.66666667,1
81.66666667,1
82.83333333,1
85,1
88.33333333,1
93.16666667,1
98.83333333,1
105,FALSE
111.1666667,FALSE
117.1666667,FALSE
122.5,FALSE
126.5,FALSE
129,FALSE
130.3333333,FALSE
130.1666667,FALSE
128.5,FALSE
125.5,FALSE
121.3333333,FALSE
116.6666667,FALSE
111.3333333,FALSE
105.3333333,FALSE
99.5,1
93.66666667,1
88,1
82.83333333,1
78.33333333,1
74.33333333,1
71,1
68.5,1
66.5,1
64.83333333,1
64.16666667,1
63.66666667,1
63.83333333,1
64.33333333,1
65.16666667,1
66.33333333,1
67.83333333,1
70,1
72.16666667,1
75,1
78.16666667,1
81.16666667,1
84,1
86.83333333,1
89.5,1
91.66666667,1
93.33333333,1
94.83333333,1
95.5,1
95.16666667,1
94.83333333,1
93.83333333,1
92.66666667,1
90.66666667,1
88.83333333,1
86.83333333,1
84.83333333,1
82.66666667,1
80.83333333,1
79.16666667,1
77.66666667,1
76,1
74.83333333,1
73.66666667,1
72.66666667,1
72.16666667,1
71.66666667,1
71.33333333,1
71.5,1
71.33333333,1
71.83333333,1
72.66666667,1
73.5,1
74.5,1
75.33333333,1
76.16666667,1
77,1
77.66666667,1
78.5,1
79.66666667,1
80.5,1
81.16666667,1
81.83333333,1
82.33333333,1
82.83333333,1
83.16666667,1
83.5,1
83.83333333,1
84,1
84.16666667,1
84,1
84,1
83.83333333,1
83.5,1
83.33333333,1
83,1
82.83333333,1
82.66666667,1
83,1
83.66666667,1
85.33333333,1
88.33333333,1
92.33333333,1
97.5,1
103,FALSE
108.5,FALSE
114,FALSE
119.1666667,FALSE
123.1666667,FALSE
126,FALSE
127.8333333,FALSE
128,FALSE
127,FALSE
124.8333333,FALSE
121.3333333,FALSE
117.3333333,FALSE
112.1666667,FALSE
106.8333333,FALSE
101.3333333,FALSE
95.66666667,1
90,1
84.83333333,1
80,1
75.83333333,1
72.16666667,1
69.33333333,1
67.16666667,1
65.16666667,1
64.16666667,1
63.16666667,1
63,1
63,1
63.66666667,1
65,1
66.5,1
68.83333333,1
71.33333333,1
74.33333333,1
77.33333333,1
80.33333333,1
83.5,1
86.83333333,1
89.5,1
91.66666667,1
93.66666667,1
94.83333333,1
95.66666667,1
95.66666667,1
95.33333333,1
94.5,1
93.16666667,1
91.33333333,1
89.5,1
87.16666667,1
85,1
82.66666667,1
80.83333333,1
79,1
77.16666667,1
75.33333333,1
74.16666667,1
73,1
72.16666667,1
71.83333333,1
71.33333333,1
71.5,1
71.33333333,1
71.66666667,1
72.16666667,1
72.66666667,1
73.33333333,1
74.16666667,1
75,1
75.83333333,1
77,1
78,1
79,1
80.16666667,1
81,1
81.66666667,1
82.66666667,1
83.33333333,1
84,1
84.33333333,1
84.66666667,1
84.66666667,1
84.66666667,1
84.66666667,1
84.83333333,1
84.5,1
84.16666667,1
83.83333333,1
